Event,Session,Competitor,CompetitorName,Sector1,Sector2,Sector3,Sector4,Speed,LapTime,LocalTime,Lap,Box,Cancelled,CurrentPosition,FinalPosition,SessionPosition,LapsRunningCount,CircuitName,CircuitLength,Constructor,CompetitorDOB,TeamName,Championship,WetWeather,TotalSmallSectors,SmallSector1,SmallSector2,SmallSector3,SmallSector4,SmallSector5,SmallSector6,SmallSector7,SmallSector8,SmallSector9,RaceRedFlagNotValid,TeamType,CompetitorType
1,RC2,47,Bassani Axel,22028,26844,17843,25890,315.7,132605,26022023 163224433,21,False,False,4,4,4,118,Phillip Island,4445,Ducati,24/07/1999,Motocorsa Racing,WorldSBK,False,8,3140,8429,10459,18890,7954,17843,5894,19996,-1,False,I,P
1,RC2,47,Bassani Axel,22047,26643,17800,25974,315.7,132464,26022023 163356897,22,False,False,4,4,4,119,Phillip Island,4445,Ducati,24/07/1999,Motocorsa Racing,WorldSBK,False,8,3155,8431,10461,18713,7930,17800,5977,19997,-1,False,I,P
1,RC2,51,Granado Eric,29411,27602,17806,26088,242.6,140907,26022023 160145345,1,False,False,20,19,19,80,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,9389,9125,10897,19406,8196,17806,6151,19937,-1,False,I,P
1,RC2,51,Granado Eric,22138,27044,17823,25926,313.9,132931,26022023 160318276,2,False,False,20,19,19,81,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3145,8549,10444,19144,7900,17823,5956,19970,-1,False,I,P
1,RC2,51,Granado Eric,22348,27091,17935,26205,313.9,133579,26022023 160451855,3,False,False,19,19,19,82,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3160,8622,10566,19118,7973,17935,5963,20242,-1,False,I,P
1,RC2,51,Granado Eric,22490,27279,17972,26288,308.5,134029,26022023 160625884,4,False,False,19,19,19,83,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3221,8694,10575,19243,8036,17972,6011,20277,-1,False,I,P
1,RC2,51,Granado Eric,22581,27390,18031,26262,305.0,134264,26022023 160800148,5,False,False,19,19,19,84,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3247,8727,10607,19341,8049,18031,5993,20269,-1,False,I,P
1,RC2,51,Granado Eric,22607,27460,18022,26282,300.8,134371,26022023 160934519,6,False,False,19,19,19,85,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3265,8738,10604,19432,8028,18022,5980,20302,-1,False,I,P
1,RC2,51,Granado Eric,22571,27358,18060,26219,305.9,134208,26022023 161108727,7,False,False,19,19,19,86,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3251,8736,10584,19327,8031,18060,5997,20222,-1,False,I,P
1,RC2,51,Granado Eric,22617,27775,18018,26363,303.3,134773,26022023 161243500,8,False,False,20,19,19,87,Phillip Island,4445,Honda,10/06/1996,PETRONAS MIE Racing HONDA Team,WorldSBK,False,8,3253,8718,10646,19636,8139,18018,6009,20354,-1,False,I,P
